iclabel,glyph,usagecode
A:uc0---:004fca:俊,俊,CJKTHM
A:uc0---:005101:儁,儁,K
A:uc0---:004fce:俎,俎,cJKTH
A:uc0---:00723c:爼,爼,J
A:uc0---:0052c1:勁,勁,JKTHM
A:uc0---:0052b2:劲,劲,C
A:uc0---:004fde:俞,俞,CTHm
A:uc0---:00516a:兪,兪,JK
A:uc0---:004fdf:俟,俟,cJKTHm
A:uc0---:004fe5:俥,俥,Jt
A:uc0---:005114:儔,儔,JTHm
A:uc0---:004fe6:俦,俦,c
A:uc0---:00513c:儼,儼,JKTHm
A:uc0---:004fe8:俨,俨,c
A:uc0---:005006:倆,倆,JKTHM
A:uc0---:004fe9:俩,俩,C
A:uc0---:005137:儷,儷,JKTHM
A:uc0---:004fea:俪,俪,c
A:uc0---:005109:儉,儉,KTHM
A:uc0---:004fed:俭,俭,C
A:uc0---:005039:倹,倹,J
A:uc0---:004fef:俯,俯,CJKTHM
A:uc0---:00982b:頫,頫,T
A:uc0---:004ff1:俱,俱,CKTHM
A:uc0---:005036:倶,倶,J
A:uc0---:006548:效,效,CJKTHM
A:uc0---:00509a:傚,傚,Tm
A:uc0---:0052b9:効,効,J
A:uc0---:005099:備,備,JKTHM
A:uc0---:005907:备,备,C
A:uc0---:00500f:倏,倏,cTH
A:uc0---:005018:倘,倘,CTHM
A:uc0---:00513b:儻,儻,T
A:uc0---:0050a5:傥,傥,c
A:uc0---:0085c9:藉,藉,CJKTHM
A:uc0---:00501f:借,借,CJKTHM
A:uc0---:00503c:值,值,CTHM
A:uc0---:005024:値,値,JK
A:uc0---:0050b5:債,債,JKTHM
A:uc0---:00503a:债,债,C
A:uc0---:0050be:傾,傾,JKTHM
A:uc0---:00503e:倾,倾,C
A:uc0---:0079e4:秤,秤,CJKTHm
A:uc0---:007a31:稱,稱,KTHM
A:uc0---:0079f0:称,称,CJ
A:uc0---:008e3d:踽,踽,ct
A:uc0---:00504e:偎,偎,cTHm
A:uc0---:009688:隈,隈,cJt
A:uc0---:008d0b:贋,贋,Jthm
A:uc0---:008d17:贗,贗,Tm
A:uc0---:008d5d:赝,赝,c
A:uc0---:008569:蕩,蕩,JKTHM
A:uc0---:0076ea:盪,盪,THM
A:uc0---:008361:荡,荡,C
A:uc0---:005065:健,健,CJKTHM
A:uc0---:00903c:逼,逼,CJKTHM
A:uc0---:0050af:傯,傯,T
A:uc0---:005077:偷,偷,CTHM
A:uc0---:005078:偸,偸,JK
A:uc0---:0054b1:咱,咱,CTHM
A:uc0---:00507a:偺,偺,T
A:uc0---:0050c2:僂,僂,t
A:uc0---:00507b:偻,偻,c
A:uc0---:0050e8:僨,僨,t
A:uc0---:00511f:償,償,JKTHM
A:uc0---:00507f:偿,偿,C
A:uc0---:0053df:叟,叟,cJTHm
A:uc0---:007f75:罵,罵,JKTHM
A:uc0---:009a82:骂,骂,C
