"cid_hex","glyph","texname"
"u/4c8","ӈ","cyrcharcyrnhk"
"u/4cb","Ӌ","cyrcharCYRCHLDSC"
"u/4cc","ӌ","cyrcharcyrchldsc"
"u/4d4","Ӕ","cyrcharCYRAE"
"u/4d5","ӕ","cyrcharcyrae"
"u/4d8","Ә","cyrcharCYRSCHWA"
"u/4d9","ә","cyrcharcyrschwa"
"u/4e0","Ӡ","cyrcharCYRABHDZE"
"u/4e1","ӡ","cyrcharcyrabhdze"
"u/4e8","Ө","cyrcharCYROTLD"
"u/4e9","ө","cyrcharcyrotld"
"u/2010","‐",""
"u/2013","–","textendash"
"u/2014","—","textemdash"
"u/2015","―","rule-1em-1pt"
"u/2016","‖","Vert"
"u/2018","‘","`"
"u/2019","’","acute"
"u/201a","‚",","
"u/201b","‛","Elzreapos"
"u/201c","“","textquotedblleft"
"u/201d","”","textquotedblright"
"u/201e","„",",,"
"u/2020","†","textdagger"
"u/2021","‡","textdaggerdbl"
"u/2022","•","textbullet"
"u/2024","․","."
"u/2025","‥",".."
"u/2026","…","ldots"
"u/2030","‰","textperthousand"
"u/2031","‱","textpertenthousand"
"u/2032","′","acute"
"u/2033","″","acuteacute"
"u/2034","‴","acuteacuteacute"
"u/2035","‵","backprime"
"u/2039","‹","guilsinglleft"
"u/203a","›","guilsinglright"
"u/2057","⁗","acuteacuteacuteacute"
"u/2060","⁠","nolinebreak"
"u/20a7","₧","ensuremath-Elzpes"
"u/20ac","€","mbox-texteuro"
"u/20db","⃛","dddot"
"u/20dc","⃜","ddddot"
"u/2102","ℂ","mathbb-C"
"u/210a","ℊ","mathscr-g"
"u/210b","ℋ","mathscr-H"
"u/210c","ℌ","mathfrak-H"
"u/210d","ℍ","mathbb-H"
"u/210f","ℏ","hslash"
"u/2110","ℐ","mathscr-I"
"u/2111","ℑ","mathfrak-I"
"u/2112","ℒ","mathscr-L"
"u/2113","ℓ","mathscr-l"
"u/2115","ℕ","mathbb-N"
"u/2116","№","cyrchartextnumero"
"u/2118","℘","wp"
"u/2119","ℙ","mathbb-P"
"u/211a","ℚ","mathbb-Q"
"u/211b","ℛ","mathscr-R"
"u/211c","ℜ","mathfrak-R"
"u/211d","ℝ","mathbb-R"
"u/211e","℞","Elzxrat"
"u/2122","™","texttrademark"
"u/2124","ℤ","mathbb-Z"
"u/2126","Ω","Omega"
"u/2127","℧","mho"
"u/2128","ℨ","mathfrak-Z"
"u/2129","℩","ElsevierGlyph-2129"
"u/212b","Å","AA"
"u/212c","ℬ","mathscr-B"
"u/212d","ℭ","mathfrak-C"
"u/212f","ℯ","mathscr-e"
"u/2130","ℰ","mathscr-E"
"u/2131","ℱ","mathscr-F"
"u/2133","ℳ","mathscr-M"
"u/2134","ℴ","mathscr-o"
"u/2135","ℵ","aleph"
"u/2136","ℶ","beth"
"u/2137","ℷ","gimel"
